Experiment	Frequency Sweep	
Date	04.05.2017 11:34:25	
User		
f_res (Hz)	31330.4142	
Q	32239	
Phase (deg)	-595.24	
Amp/Exc (nm/mV)	0.482230	
Number of points	337	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
9.54000E+0	31.3281E+3	60.8309E-12	-86.4102E+0
9.50266E+0	31.3281E+3	62.5507E-12	-88.6170E+0
9.46532E+0	31.3281E+3	64.7047E-12	-89.3617E+0
9.42799E+0	31.3281E+3	61.2682E-12	-86.0226E+0
9.39065E+0	31.3281E+3	62.4819E-12	-87.9029E+0
9.35331E+0	31.3281E+3	67.2447E-12	-86.9228E+0
9.31597E+0	31.3281E+3	71.7458E-12	-88.0952E+0
9.27863E+0	31.3281E+3	64.2396E-12	-89.4963E+0
9.24129E+0	31.3281E+3	60.7090E-12	-81.7295E+0
9.20396E+0	31.3281E+3	65.4990E-12	-83.1601E+0
9.16662E+0	31.3281E+3	61.8320E-12	-80.4473E+0
9.12928E+0	31.3281E+3	68.4395E-12	-94.0490E+0
9.09194E+0	31.3281E+3	62.9726E-12	-89.0879E+0
9.05460E+0	31.3281E+3	66.1461E-12	-87.2985E+0
9.01726E+0	31.3281E+3	58.8892E-12	-87.3798E+0
8.97993E+0	31.3281E+3	59.7227E-12	-84.4756E+0
8.94259E+0	31.3281E+3	67.2732E-12	-80.0869E+0
8.90525E+0	31.3281E+3	65.1419E-12	-89.5865E+0
8.86791E+0	31.3281E+3	72.6041E-12	-87.3261E+0
8.83057E+0	31.3281E+3	71.8783E-12	-94.3348E+0
8.79323E+0	31.3281E+3	64.1364E-12	-88.9598E+0
8.75590E+0	31.3281E+3	66.6330E-12	-85.1089E+0
8.71856E+0	31.3281E+3	74.3941E-12	-90.6466E+0
8.68122E+0	31.3281E+3	69.8849E-12	-92.0582E+0
8.64388E+0	31.3281E+3	71.5005E-12	-88.3394E+0
8.60654E+0	31.3281E+3	64.2551E-12	-91.7142E+0
8.56921E+0	31.3281E+3	63.9443E-12	-90.1084E+0
8.53187E+0	31.3281E+3	81.2823E-12	-83.4300E+0
8.49453E+0	31.3281E+3	66.8179E-12	-82.2590E+0
8.45719E+0	31.3281E+3	72.7055E-12	-93.2193E+0
8.41985E+0	31.3281E+3	77.2366E-12	-91.7176E+0
8.38251E+0	31.3281E+3	79.5331E-12	-84.9716E+0
8.34518E+0	31.3281E+3	80.4465E-12	-88.6939E+0
8.30784E+0	31.3281E+3	74.4338E-12	-82.9515E+0
8.27050E+0	31.3281E+3	71.2276E-12	-87.7754E+0
8.23316E+0	31.3281E+3	79.1182E-12	-91.2513E+0
8.19582E+0	31.3281E+3	75.5049E-12	-87.2792E+0
8.15848E+0	31.3281E+3	77.3909E-12	-84.5789E+0
8.12115E+0	31.3281E+3	78.0021E-12	-87.9257E+0
8.08381E+0	31.3281E+3	72.8576E-12	-88.8490E+0
8.04647E+0	31.3281E+3	75.1479E-12	-88.3068E+0
8.00913E+0	31.3281E+3	77.4869E-12	-83.7322E+0
7.97179E+0	31.3281E+3	81.3577E-12	-90.5864E+0
7.93445E+0	31.3281E+3	81.6996E-12	-84.8483E+0
7.89712E+0	31.3281E+3	82.3386E-12	-89.7668E+0
7.85978E+0	31.3281E+3	78.1092E-12	-82.0327E+0
7.82244E+0	31.3281E+3	80.3699E-12	-91.3329E+0
7.78510E+0	31.3281E+3	87.3796E-12	-87.8988E+0
7.74776E+0	31.3281E+3	79.6617E-12	-89.9766E+0
7.71042E+0	31.3281E+3	79.7178E-12	-86.7650E+0
7.67308E+0	31.3281E+3	84.0454E-12	-82.5416E+0
7.63574E+0	31.3281E+3	81.3553E-12	-87.0867E+0
7.59841E+0	31.3281E+3	90.3856E-12	-82.1465E+0
7.56107E+0	31.3281E+3	84.6392E-12	-91.4515E+0
7.52373E+0	31.3281E+3	82.4449E-12	-86.8496E+0
7.48639E+0	31.3281E+3	85.3444E-12	-82.2402E+0
7.44905E+0	31.3281E+3	87.1722E-12	-85.0668E+0
7.41171E+0	31.3281E+3	107.031E-12	-86.3707E+0
7.37437E+0	31.3281E+3	78.3542E-12	-84.6143E+0
7.33703E+0	31.3281E+3	92.5988E-12	-83.8985E+0
7.29970E+0	31.3281E+3	96.0538E-12	-91.9456E+0
7.26236E+0	31.3281E+3	84.9541E-12	-89.0144E+0
7.22502E+0	31.3281E+3	94.7604E-12	-88.5764E+0
7.18768E+0	31.3281E+3	89.9616E-12	-88.6205E+0
7.15034E+0	31.3281E+3	87.9412E-12	-92.2222E+0
7.11300E+0	31.3281E+3	93.7615E-12	-92.3455E+0
7.07566E+0	31.3281E+3	80.3482E-12	-83.8370E+0
7.03832E+0	31.3281E+3	92.6920E-12	-87.3969E+0
7.00099E+0	31.3281E+3	96.0290E-12	-80.0631E+0
6.96365E+0	31.3281E+3	98.7695E-12	-88.7996E+0
6.92631E+0	31.3281E+3	96.1391E-12	-85.3595E+0
6.88897E+0	31.3281E+3	95.3797E-12	-91.3897E+0
6.85163E+0	31.3281E+3	96.7319E-12	-80.4892E+0
6.81429E+0	31.3281E+3	91.3031E-12	-87.3526E+0
6.77695E+0	31.3281E+3	98.6107E-12	-89.1621E+0
6.73961E+0	31.3281E+3	114.828E-12	-97.0850E+0
6.70228E+0	31.3281E+3	90.5547E-12	-82.0301E+0
6.66494E+0	31.3281E+3	117.128E-12	-81.5274E+0
6.62760E+0	31.3281E+3	97.5899E-12	-85.1869E+0
6.59026E+0	31.3281E+3	101.700E-12	-86.8413E+0
6.55292E+0	31.3281E+3	96.8420E-12	-82.8300E+0
6.51558E+0	31.3281E+3	102.134E-12	-83.8251E+0
6.47824E+0	31.3281E+3	127.852E-12	-84.2253E+0
6.44090E+0	31.3281E+3	111.497E-12	-92.3468E+0
6.40357E+0	31.3281E+3	93.7557E-12	-81.4448E+0
6.36623E+0	31.3281E+3	101.096E-12	-79.3559E+0
6.32889E+0	31.3281E+3	112.200E-12	-86.2073E+0
6.29155E+0	31.3281E+3	120.362E-12	-91.6923E+0
6.25421E+0	31.3281E+3	115.098E-12	-79.6473E+0
6.21687E+0	31.3281E+3	110.683E-12	-81.6166E+0
6.17953E+0	31.3281E+3	124.161E-12	-80.0633E+0
6.14219E+0	31.3281E+3	115.932E-12	-86.1262E+0
6.10486E+0	31.3281E+3	132.125E-12	-77.0832E+0
6.06752E+0	31.3281E+3	112.584E-12	-74.7876E+0
6.03018E+0	31.3281E+3	111.961E-12	-87.0720E+0
5.99284E+0	31.3281E+3	120.282E-12	-86.2861E+0
5.95550E+0	31.3281E+3	103.492E-12	-81.1991E+0
5.91816E+0	31.3281E+3	113.914E-12	-81.6499E+0
5.88082E+0	31.3281E+3	128.802E-12	-85.2439E+0
5.84348E+0	31.3281E+3	148.319E-12	-83.5980E+0
5.80615E+0	31.3281E+3	140.134E-12	-88.6090E+0
5.76881E+0	31.3281E+3	141.712E-12	-91.6668E+0
5.73147E+0	31.3281E+3	133.382E-12	-76.6249E+0
5.69413E+0	31.3281E+3	139.586E-12	-82.0685E+0
5.65679E+0	31.3281E+3	134.804E-12	-84.5375E+0
5.61945E+0	31.3281E+3	143.125E-12	-87.0466E+0
5.58211E+0	31.3281E+3	139.879E-12	-81.8382E+0
5.54478E+0	31.3281E+3	141.265E-12	-77.7071E+0
5.50744E+0	31.3281E+3	124.610E-12	-69.3126E+0
5.47010E+0	31.3281E+3	127.719E-12	-84.1771E+0
5.43276E+0	31.3281E+3	133.054E-12	-87.0024E+0
5.39542E+0	31.3281E+3	140.547E-12	-87.5771E+0
5.35808E+0	31.3281E+3	171.066E-12	-83.2051E+0
5.32074E+0	31.3281E+3	168.727E-12	-79.8401E+0
5.28340E+0	31.3281E+3	142.770E-12	-80.9509E+0
5.24607E+0	31.3281E+3	139.699E-12	-80.8681E+0
5.20873E+0	31.3281E+3	150.958E-12	-84.4690E+0
5.17139E+0	31.3281E+3	143.457E-12	-86.1973E+0
5.13405E+0	31.3281E+3	152.961E-12	-91.7824E+0
5.09671E+0	31.3281E+3	164.740E-12	-82.8602E+0
5.05937E+0	31.3281E+3	177.123E-12	-79.5846E+0
5.02203E+0	31.3281E+3	179.159E-12	-72.9768E+0
4.98469E+0	31.3281E+3	148.300E-12	-76.4461E+0
4.94736E+0	31.3281E+3	166.977E-12	-81.2622E+0
4.91002E+0	31.3281E+3	171.997E-12	-90.2633E+0
4.87268E+0	31.3281E+3	191.580E-12	-81.3611E+0
4.83534E+0	31.3281E+3	159.929E-12	-73.9484E+0
4.79800E+0	31.3281E+3	180.969E-12	-78.0318E+0
4.76066E+0	31.3281E+3	184.865E-12	-80.9962E+0
4.72332E+0	31.3281E+3	166.875E-12	-77.5804E+0
4.68598E+0	31.3281E+3	164.174E-12	-71.5067E+0
4.64865E+0	31.3281E+3	190.719E-12	-94.5112E+0
4.61131E+0	31.3281E+3	228.048E-12	-73.6616E+0
4.57397E+0	31.3281E+3	177.383E-12	-75.6865E+0
4.53663E+0	31.3281E+3	180.048E-12	-81.9431E+0
4.49929E+0	31.3281E+3	219.782E-12	-83.6915E+0
4.46195E+0	31.3281E+3	202.522E-12	-77.8975E+0
4.42461E+0	31.3281E+3	212.215E-12	-78.3826E+0
4.38727E+0	31.3281E+3	204.405E-12	-76.2669E+0
4.34994E+0	31.3281E+3	218.853E-12	-75.0966E+0
4.31260E+0	31.3281E+3	206.417E-12	-87.6065E+0
4.27526E+0	31.3281E+3	248.531E-12	-76.0287E+0
4.23792E+0	31.3281E+3	198.481E-12	-78.6573E+0
4.20058E+0	31.3281E+3	253.423E-12	-80.3587E+0
4.16324E+0	31.3281E+3	250.786E-12	-75.9797E+0
4.12590E+0	31.3281E+3	235.207E-12	-72.9012E+0
4.08856E+0	31.3281E+3	242.129E-12	-76.4770E+0
4.05123E+0	31.3281E+3	264.510E-12	-76.3743E+0
4.01389E+0	31.3281E+3	246.768E-12	-71.3853E+0
3.97655E+0	31.3281E+3	280.564E-12	-80.4041E+0
3.93921E+0	31.3281E+3	244.533E-12	-70.5117E+0
3.90187E+0	31.3281E+3	283.362E-12	-73.8456E+0
3.86453E+0	31.3281E+3	263.228E-12	-71.2055E+0
3.82719E+0	31.3281E+3	326.580E-12	-75.3280E+0
3.78986E+0	31.3281E+3	277.142E-12	-71.8251E+0
3.75252E+0	31.3281E+3	308.411E-12	-73.5774E+0
3.71518E+0	31.3281E+3	314.792E-12	-69.6692E+0
3.67784E+0	31.3281E+3	325.362E-12	-71.3000E+0
3.64050E+0	31.3281E+3	339.075E-12	-65.2562E+0
3.60316E+0	31.3281E+3	338.813E-12	-71.9164E+0
3.56582E+0	31.3281E+3	332.093E-12	-68.7334E+0
3.52849E+0	31.3281E+3	370.902E-12	-68.0695E+0
3.49115E+0	31.3281E+3	346.350E-12	-67.3392E+0
3.45381E+0	31.3281E+3	383.066E-12	-65.1675E+0
3.41647E+0	31.3281E+3	375.701E-12	-65.5749E+0
3.37913E+0	31.3281E+3	408.798E-12	-65.0227E+0
3.34179E+0	31.3281E+3	401.708E-12	-66.8156E+0
3.30446E+0	31.3281E+3	423.160E-12	-62.1956E+0
3.26712E+0	31.3281E+3	443.010E-12	-61.0845E+0
3.22978E+0	31.3281E+3	467.482E-12	-59.9119E+0
3.19244E+0	31.3281E+3	462.511E-12	-62.0984E+0
3.15510E+0	31.3281E+3	477.431E-12	-57.0570E+0
3.11776E+0	31.3281E+3	501.101E-12	-59.0070E+0
3.08042E+0	31.3281E+3	508.461E-12	-57.9442E+0
3.04309E+0	31.3281E+3	529.187E-12	-52.9715E+0
3.00575E+0	31.3281E+3	554.805E-12	-50.7932E+0
2.96841E+0	31.3281E+3	561.416E-12	-50.8765E+0
2.93107E+0	31.3281E+3	603.586E-12	-46.9412E+0
2.89373E+0	31.3281E+3	622.435E-12	-47.8949E+0
2.85639E+0	31.3281E+3	642.770E-12	-44.9256E+0
2.81906E+0	31.3281E+3	680.013E-12	-43.4362E+0
2.78172E+0	31.3281E+3	695.978E-12	-40.5989E+0
2.74438E+0	31.3281E+3	727.612E-12	-36.5202E+0
2.70704E+0	31.3281E+3	751.417E-12	-34.5548E+0
2.66970E+0	31.3281E+3	771.682E-12	-34.0118E+0
2.63236E+0	31.3281E+3	804.716E-12	-30.3710E+0
2.59502E+0	31.3281E+3	833.464E-12	-25.7233E+0
2.55769E+0	31.3281E+3	857.867E-12	-23.6690E+0
2.52035E+0	31.3281E+3	873.469E-12	-18.4360E+0
2.48301E+0	31.3281E+3	887.096E-12	-14.2218E+0
2.44567E+0	31.3281E+3	897.722E-12	-10.2298E+0
2.40833E+0	31.3281E+3	913.815E-12	-4.88485E+0
2.37099E+0	31.3281E+3	933.543E-12	-1.36254E+0
2.33365E+0	31.3281E+3	964.460E-12	3.91707E+0
2.29632E+0	31.3281E+3	942.159E-12	7.87753E+0
2.25898E+0	31.3281E+3	913.750E-12	13.3904E+0
2.22164E+0	31.3281E+3	906.716E-12	15.9911E+0
2.18430E+0	31.3281E+3	886.536E-12	21.5142E+0
2.14696E+0	31.3281E+3	850.489E-12	24.9441E+0
2.10962E+0	31.3281E+3	830.197E-12	27.5811E+0
2.07229E+0	31.3281E+3	829.230E-12	32.2368E+0
2.03495E+0	31.3281E+3	759.535E-12	36.5913E+0
1.99761E+0	31.3281E+3	710.041E-12	40.0705E+0
1.96027E+0	31.3281E+3	708.414E-12	40.4740E+0
1.92293E+0	31.3281E+3	645.239E-12	45.5523E+0
1.88559E+0	31.3281E+3	606.260E-12	43.8463E+0
1.84825E+0	31.3281E+3	603.405E-12	46.1210E+0
1.81092E+0	31.3281E+3	586.388E-12	51.1092E+0
1.77358E+0	31.3281E+3	580.042E-12	53.0176E+0
1.73624E+0	31.3281E+3	555.438E-12	57.3010E+0
1.69890E+0	31.3281E+3	511.354E-12	55.0328E+0
1.66156E+0	31.3281E+3	482.015E-12	55.3378E+0
1.62422E+0	31.3281E+3	475.335E-12	59.6138E+0
1.58688E+0	31.3281E+3	493.368E-12	61.0332E+0
1.54955E+0	31.3281E+3	426.940E-12	63.3403E+0
1.51221E+0	31.3281E+3	424.159E-12	59.8694E+0
1.47487E+0	31.3281E+3	409.823E-12	61.4221E+0
1.43753E+0	31.3281E+3	387.940E-12	61.3017E+0
1.40019E+0	31.3281E+3	391.695E-12	62.0681E+0
1.36285E+0	31.3281E+3	406.629E-12	66.5846E+0
1.32552E+0	31.3281E+3	376.996E-12	65.4059E+0
1.28818E+0	31.3281E+3	357.885E-12	66.4671E+0
1.25084E+0	31.3281E+3	338.207E-12	71.6032E+0
1.21350E+0	31.3281E+3	306.067E-12	69.8415E+0
1.17616E+0	31.3281E+3	330.464E-12	66.2622E+0
1.13882E+0	31.3281E+3	327.619E-12	70.5168E+0
1.10148E+0	31.3281E+3	315.905E-12	63.6535E+0
1.06415E+0	31.3281E+3	312.662E-12	68.8847E+0
1.02681E+0	31.3281E+3	302.429E-12	73.8429E+0
989.469E-3	31.3281E+3	291.834E-12	67.0611E+0
952.130E-3	31.3281E+3	291.704E-12	72.1901E+0
914.792E-3	31.3281E+3	283.705E-12	76.0652E+0
877.453E-3	31.3281E+3	249.703E-12	65.4835E+0
840.115E-3	31.3281E+3	249.575E-12	80.9393E+0
802.776E-3	31.3281E+3	259.898E-12	66.3750E+0
765.437E-3	31.3281E+3	250.854E-12	76.5417E+0
728.099E-3	31.3281E+3	248.142E-12	68.5562E+0
690.760E-3	31.3281E+3	245.036E-12	75.2284E+0
653.422E-3	31.3281E+3	242.085E-12	70.8296E+0
616.083E-3	31.3281E+3	225.073E-12	75.5731E+0
578.745E-3	31.3281E+3	212.022E-12	67.8375E+0
541.406E-3	31.3281E+3	215.142E-12	83.6098E+0
504.068E-3	31.3281E+3	220.527E-12	70.8987E+0
466.729E-3	31.3281E+3	233.197E-12	76.2259E+0
429.390E-3	31.3281E+3	207.165E-12	72.3959E+0
392.052E-3	31.3281E+3	227.508E-12	76.6379E+0
354.713E-3	31.3281E+3	202.985E-12	74.7033E+0
317.375E-3	31.3281E+3	194.715E-12	74.7220E+0
280.036E-3	31.3281E+3	203.377E-12	74.4902E+0
242.698E-3	31.3281E+3	206.651E-12	81.0302E+0
205.359E-3	31.3281E+3	201.870E-12	72.7912E+0
168.021E-3	31.3281E+3	172.534E-12	74.0104E+0
130.682E-3	31.3281E+3	169.429E-12	82.1143E+0
93.3434E-3	31.3281E+3	202.610E-12	76.6839E+0
56.0049E-3	31.3281E+3	180.783E-12	72.7805E+0
18.6663E-3	31.3281E+3	171.417E-12	75.2544E+0
-18.6722E-3	31.3281E+3	177.641E-12	82.9514E+0
-56.0108E-3	31.3281E+3	165.900E-12	71.3550E+0
-93.3493E-3	31.3281E+3	166.948E-12	84.1221E+0
-130.688E-3	31.3281E+3	176.488E-12	77.1484E+0
-168.026E-3	31.3281E+3	166.699E-12	81.1694E+0
-205.365E-3	31.3281E+3	159.745E-12	81.5937E+0
-242.704E-3	31.3281E+3	178.362E-12	77.0624E+0
-280.042E-3	31.3281E+3	149.379E-12	68.8774E+0
-317.381E-3	31.3281E+3	138.422E-12	80.7218E+0
-354.719E-3	31.3281E+3	143.180E-12	83.5117E+0
-392.058E-3	31.3281E+3	143.064E-12	73.8333E+0
-429.396E-3	31.3281E+3	144.260E-12	83.5491E+0
-466.735E-3	31.3281E+3	160.153E-12	76.4027E+0
-504.073E-3	31.3281E+3	140.574E-12	76.7128E+0
-541.412E-3	31.3281E+3	137.064E-12	82.0857E+0
-578.750E-3	31.3281E+3	133.456E-12	80.1401E+0
-616.089E-3	31.3281E+3	135.372E-12	81.4157E+0
