Experiment	Frequency Sweep	
Date	04.05.2017 16:10:16	
User		
f_res (Hz)	31324.0835	
Q	51857	
Phase (deg)	-616.12	
Amp/Exc (nm/mV)	0.483608	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-2.94041E+0	31.3237E+3	228.114E-12	116.708E+0
-2.92174E+0	31.3237E+3	213.179E-12	114.342E+0
-2.90307E+0	31.3237E+3	232.964E-12	116.087E+0
-2.88440E+0	31.3237E+3	227.827E-12	114.302E+0
-2.86573E+0	31.3237E+3	233.400E-12	116.952E+0
-2.84706E+0	31.3237E+3	264.327E-12	129.056E+0
-2.82840E+0	31.3237E+3	283.175E-12	123.921E+0
-2.80973E+0	31.3237E+3	272.467E-12	113.647E+0
-2.79106E+0	31.3237E+3	251.171E-12	107.605E+0
-2.77239E+0	31.3237E+3	245.424E-12	108.974E+0
-2.75372E+0	31.3237E+3	234.356E-12	111.652E+0
-2.73505E+0	31.3237E+3	229.456E-12	110.523E+0
-2.71638E+0	31.3237E+3	211.353E-12	115.153E+0
-2.69771E+0	31.3237E+3	240.131E-12	116.844E+0
-2.67904E+0	31.3237E+3	238.947E-12	113.885E+0
-2.66037E+0	31.3237E+3	243.063E-12	113.706E+0
-2.64170E+0	31.3237E+3	243.780E-12	113.030E+0
-2.62303E+0	31.3237E+3	241.707E-12	115.430E+0
-2.60436E+0	31.3237E+3	261.580E-12	115.894E+0
-2.58569E+0	31.3237E+3	261.642E-12	111.915E+0
-2.56702E+0	31.3237E+3	255.883E-12	111.743E+0
-2.54836E+0	31.3237E+3	243.022E-12	112.557E+0
-2.52969E+0	31.3237E+3	239.904E-12	112.570E+0
-2.51102E+0	31.3237E+3	249.125E-12	114.238E+0
-2.49235E+0	31.3237E+3	241.406E-12	112.180E+0
-2.47368E+0	31.3237E+3	256.772E-12	114.659E+0
-2.45501E+0	31.3237E+3	259.597E-12	109.826E+0
-2.43634E+0	31.3237E+3	252.358E-12	113.039E+0
-2.41767E+0	31.3237E+3	283.406E-12	110.528E+0
-2.39900E+0	31.3237E+3	249.092E-12	111.892E+0
-2.38033E+0	31.3237E+3	254.800E-12	114.530E+0
-2.36166E+0	31.3237E+3	259.669E-12	111.186E+0
-2.34299E+0	31.3237E+3	260.991E-12	112.054E+0
-2.32432E+0	31.3237E+3	277.902E-12	110.885E+0
-2.30565E+0	31.3237E+3	261.727E-12	110.739E+0
-2.28698E+0	31.3237E+3	259.846E-12	115.189E+0
-2.26831E+0	31.3237E+3	264.270E-12	116.956E+0
-2.24965E+0	31.3237E+3	291.778E-12	113.439E+0
-2.23098E+0	31.3237E+3	286.918E-12	110.353E+0
-2.21231E+0	31.3237E+3	272.876E-12	111.784E+0
-2.19364E+0	31.3237E+3	281.849E-12	113.721E+0
-2.17497E+0	31.3237E+3	269.739E-12	111.117E+0
-2.15630E+0	31.3237E+3	280.315E-12	117.405E+0
-2.13763E+0	31.3237E+3	313.295E-12	112.918E+0
-2.11896E+0	31.3237E+3	286.309E-12	113.427E+0
-2.10029E+0	31.3237E+3	291.825E-12	110.665E+0
-2.08162E+0	31.3237E+3	300.891E-12	114.070E+0
-2.06295E+0	31.3237E+3	288.144E-12	111.403E+0
-2.04428E+0	31.3237E+3	304.837E-12	114.979E+0
