31260.000	221.778
31261.000	222.303
31262.000	222.827
31263.000	223.400
31264.000	223.972
31265.000	224.592
31266.000	225.212
31267.000	225.879
31268.000	226.547
31269.000	227.310
31270.000	228.025
31271.000	228.836
31272.000	229.646
31273.000	230.552
31274.000	231.411
31275.000	232.364
31276.000	233.366
31277.000	234.415
31278.000	235.511
31279.000	236.703
31280.000	237.943
31281.000	239.231
31282.000	240.614
31283.000	242.044
31284.000	243.618
31285.000	245.287
31286.000	247.051
31287.000	248.958
31288.000	251.009
31289.000	253.107
31290.000	255.443
31291.000	257.970
31292.000	260.641
31293.000	263.597
31294.000	266.744
31295.000	270.130
31296.000	273.801
31297.000	277.807
31298.000	282.146
31299.000	286.771
31300.000	291.778
31301.000	297.119
31302.000	302.745
31303.000	308.420
31304.000	314.046
31305.000	319.053
31306.000	322.630
31307.000	323.583
31308.000	319.912
31309.000	309.040
31310.000	288.583
31311.000	256.731
31312.000	216.343
31313.000	172.377
31314.000	133.086
31315.000	103.141
31316.000	84.067
31317.000	74.196
31318.000	70.906
31319.000	71.717
31320.000	75.055
31321.000	79.585
31322.000	84.734
31323.000	90.075
31324.000	95.272
31325.000	100.232
31326.000	104.953
31327.000	109.292
31328.000	113.345
31329.000	117.160
31330.000	120.641
31331.000	123.835
31332.000	126.839
31333.000	129.605
31334.000	132.180
31335.000	134.564
31336.000	136.805
31337.000	138.856
31338.000	140.811
31339.000	142.623
31340.000	144.339
31341.000	145.913
31342.000	147.439
31343.000	148.869
31344.000	150.252
31345.000	151.444
31346.000	152.684
31347.000	153.781
31348.000	154.877
31349.000	155.879
31350.000	156.880
31351.000	157.786
31352.000	158.692
31353.000	159.550
31354.000	160.313
31355.000	161.076
31356.000	161.839
31357.000	162.555
31358.000	163.222
31359.000	163.890
31360.000	164.462
31361.000	165.082
31362.000	165.654
31363.000	166.178
31364.000	166.751
31365.000	167.228
31366.000	167.752
31367.000	168.181
31368.000	168.658
31369.000	169.087
31370.000	169.516
31371.000	169.946
31372.000	170.375
31373.000	170.756
31374.000	171.138
31375.000	171.519
31376.000	171.853
31377.000	172.187
31378.000	172.520
31379.000	172.854
31380.000	173.188
31381.000	173.474
31382.000	173.760
