shift	center	amp	phase
1.47644E+0	31.3223E+3	113.198E-12	-61.7302E+0
1.46713E+0	31.3223E+3	127.541E-12	-57.4833E+0
1.45781E+0	31.3223E+3	119.748E-12	-65.6703E+0
1.44850E+0	31.3223E+3	120.659E-12	-59.7181E+0
1.43918E+0	31.3223E+3	123.333E-12	-58.8477E+0
1.42987E+0	31.3223E+3	131.211E-12	-55.9046E+0
1.42055E+0	31.3223E+3	121.659E-12	-63.3891E+0
1.41124E+0	31.3223E+3	130.701E-12	-58.9894E+0
1.40192E+0	31.3223E+3	134.375E-12	-59.2408E+0
1.39261E+0	31.3223E+3	120.139E-12	-63.5332E+0
1.38329E+0	31.3223E+3	143.142E-12	-58.4925E+0
1.37398E+0	31.3223E+3	123.695E-12	-65.3609E+0
1.36466E+0	31.3223E+3	130.488E-12	-55.8104E+0
1.35535E+0	31.3223E+3	132.490E-12	-63.4204E+0
1.34603E+0	31.3223E+3	129.608E-12	-54.8497E+0
1.33672E+0	31.3223E+3	129.730E-12	-61.2592E+0
1.32740E+0	31.3223E+3	139.724E-12	-58.1571E+0
1.31809E+0	31.3223E+3	146.051E-12	-62.7205E+0
1.30877E+0	31.3223E+3	118.151E-12	-64.4006E+0
1.29946E+0	31.3223E+3	146.349E-12	-56.1658E+0
1.29014E+0	31.3223E+3	139.551E-12	-66.8968E+0
1.28083E+0	31.3223E+3	125.352E-12	-57.0541E+0
1.27151E+0	31.3223E+3	147.515E-12	-56.8982E+0
1.26220E+0	31.3223E+3	146.713E-12	-62.3170E+0
1.25288E+0	31.3223E+3	136.116E-12	-62.2541E+0
1.24357E+0	31.3223E+3	142.635E-12	-57.1942E+0
1.23425E+0	31.3223E+3	145.630E-12	-64.0929E+0
1.22494E+0	31.3223E+3	154.612E-12	-62.4700E+0
1.21562E+0	31.3223E+3	151.756E-12	-66.3728E+0
1.20631E+0	31.3223E+3	138.979E-12	-59.4259E+0
1.19699E+0	31.3223E+3	148.149E-12	-60.8075E+0
1.18768E+0	31.3223E+3	148.668E-12	-58.3983E+0
1.17836E+0	31.3223E+3	153.429E-12	-60.8115E+0
1.16905E+0	31.3223E+3	149.806E-12	-61.4202E+0
1.15973E+0	31.3223E+3	157.674E-12	-62.5600E+0
1.15042E+0	31.3223E+3	162.424E-12	-65.8329E+0
1.14110E+0	31.3223E+3	140.231E-12	-62.0011E+0
1.13179E+0	31.3223E+3	148.717E-12	-57.9319E+0
1.12247E+0	31.3223E+3	167.857E-12	-55.5786E+0
