shift	center	amp	phase
-1.73725E+0	31.3223E+3	117.552E-12	112.584E+0
-1.74656E+0	31.3223E+3	114.094E-12	112.449E+0
-1.75588E+0	31.3223E+3	117.063E-12	115.318E+0
-1.76519E+0	31.3223E+3	112.676E-12	109.301E+0
-1.77451E+0	31.3223E+3	107.609E-12	114.341E+0
-1.78382E+0	31.3223E+3	104.679E-12	113.640E+0
-1.79314E+0	31.3223E+3	115.718E-12	114.513E+0
-1.80245E+0	31.3223E+3	106.504E-12	110.519E+0
-1.81177E+0	31.3223E+3	108.765E-12	112.269E+0
-1.82108E+0	31.3223E+3	104.066E-12	111.965E+0
-1.83040E+0	31.3223E+3	102.897E-12	114.227E+0
-1.83971E+0	31.3223E+3	108.267E-12	113.732E+0
-1.84903E+0	31.3223E+3	106.931E-12	114.155E+0
-1.85834E+0	31.3223E+3	99.5175E-12	110.414E+0
-1.86766E+0	31.3223E+3	103.255E-12	112.675E+0
-1.87697E+0	31.3223E+3	106.591E-12	110.167E+0
-1.88629E+0	31.3223E+3	108.027E-12	116.195E+0
-1.89560E+0	31.3223E+3	105.009E-12	112.443E+0
-1.90492E+0	31.3223E+3	102.131E-12	112.714E+0
-1.91423E+0	31.3223E+3	107.610E-12	114.040E+0
-1.92355E+0	31.3223E+3	100.343E-12	115.292E+0
-1.93286E+0	31.3223E+3	101.104E-12	111.978E+0
-1.94218E+0	31.3223E+3	106.906E-12	113.991E+0
-1.95149E+0	31.3223E+3	100.846E-12	112.985E+0
-1.96081E+0	31.3223E+3	105.376E-12	114.869E+0
-1.97012E+0	31.3223E+3	100.240E-12	114.060E+0
-1.97944E+0	31.3223E+3	102.323E-12	115.093E+0
-1.98875E+0	31.3223E+3	96.2445E-12	111.275E+0
-1.99807E+0	31.3223E+3	96.9502E-12	114.864E+0
-2.00738E+0	31.3223E+3	102.451E-12	114.948E+0
-2.01670E+0	31.3223E+3	93.4745E-12	113.087E+0
-2.02601E+0	31.3223E+3	98.8764E-12	113.227E+0
-2.03533E+0	31.3223E+3	96.7410E-12	111.713E+0
-2.04464E+0	31.3223E+3	96.0608E-12	111.537E+0
-2.05396E+0	31.3223E+3	94.6801E-12	109.897E+0
-2.06327E+0	31.3223E+3	95.1627E-12	113.315E+0
-2.07259E+0	31.3223E+3	93.6656E-12	110.552E+0
-2.08190E+0	31.3223E+3	97.8196E-12	112.312E+0
-2.09122E+0	31.3223E+3	95.7272E-12	112.476E+0
-2.10053E+0	31.3223E+3	104.482E-12	110.043E+0
-2.10985E+0	31.3223E+3	96.4806E-12	111.072E+0
-2.11916E+0	31.3223E+3	92.0246E-12	112.867E+0
-2.12848E+0	31.3223E+3	93.4578E-12	114.649E+0
-2.13779E+0	31.3223E+3	89.8240E-12	111.409E+0
-2.14711E+0	31.3223E+3	92.9969E-12	115.517E+0
-2.15642E+0	31.3223E+3	91.2359E-12	113.350E+0
-2.16574E+0	31.3223E+3	90.8204E-12	110.115E+0
-2.17505E+0	31.3223E+3	93.2310E-12	112.980E+0
-2.18437E+0	31.3223E+3	89.6266E-12	111.155E+0
-2.19368E+0	31.3223E+3	89.5899E-12	115.591E+0
-2.20300E+0	31.3223E+3	91.6563E-12	111.500E+0
-2.21231E+0	31.3223E+3	92.6391E-12	117.017E+0
-2.22163E+0	31.3223E+3	88.5601E-12	112.754E+0
-2.23094E+0	31.3223E+3	85.1591E-12	112.286E+0
-2.24026E+0	31.3223E+3	91.2308E-12	111.377E+0
-2.24957E+0	31.3223E+3	83.1860E-12	115.368E+0
-2.25889E+0	31.3223E+3	86.0345E-12	115.943E+0
-2.26820E+0	31.3223E+3	88.6822E-12	114.045E+0
-2.27752E+0	31.3223E+3	92.1703E-12	114.247E+0
-2.28683E+0	31.3223E+3	95.2103E-12	114.772E+0
-2.29615E+0	31.3223E+3	85.3669E-12	118.569E+0
-2.30546E+0	31.3223E+3	88.6895E-12	111.937E+0
-2.31478E+0	31.3223E+3	86.3353E-12	113.068E+0
-2.32409E+0	31.3223E+3	83.7634E-12	110.677E+0
-2.33341E+0	31.3223E+3	85.2462E-12	115.320E+0
-2.34272E+0	31.3223E+3	86.0848E-12	109.707E+0
-2.35204E+0	31.3223E+3	91.1218E-12	113.015E+0
-2.36135E+0	31.3223E+3	87.5462E-12	116.777E+0
-2.37067E+0	31.3223E+3	83.2765E-12	113.743E+0
-2.37998E+0	31.3223E+3	80.9517E-12	112.890E+0
