Experiment	Frequency Sweep	
Date	28.04.2017 16:36:25	
User		
f_res (Hz)	30187.3413	
Q	3763	
Phase (deg)	-48.93	
Amp/Exc (nm/mV)	0.073916	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-76.3000E+0	30.1782E+3	17.4742E-12	96.9414E+0
-76.0014E+0	30.1782E+3	17.0105E-12	95.4699E+0
-75.7027E+0	30.1782E+3	17.2077E-12	99.8930E+0
-75.4041E+0	30.1782E+3	16.8967E-12	95.4347E+0
-75.1055E+0	30.1782E+3	17.9513E-12	98.0048E+0
-74.8069E+0	30.1782E+3	18.2031E-12	90.5991E+0
-74.5082E+0	30.1782E+3	18.7027E-12	103.098E+0
-74.2096E+0	30.1782E+3	18.3602E-12	101.027E+0
-73.9110E+0	30.1782E+3	17.2298E-12	104.306E+0
-73.6123E+0	30.1782E+3	18.4391E-12	104.804E+0
-73.3137E+0	30.1782E+3	17.0014E-12	102.561E+0
-73.0151E+0	30.1782E+3	17.8050E-12	90.8760E+0
-72.7164E+0	30.1782E+3	19.8180E-12	86.9719E+0
-72.4178E+0	30.1782E+3	18.2021E-12	103.618E+0
-72.1192E+0	30.1782E+3	17.1146E-12	99.1805E+0
-71.8206E+0	30.1782E+3	16.8333E-12	115.381E+0
-71.5219E+0	30.1782E+3	17.8181E-12	99.4639E+0
-71.2233E+0	30.1782E+3	17.7944E-12	108.769E+0
-70.9247E+0	30.1782E+3	16.8744E-12	102.359E+0
-70.6260E+0	30.1782E+3	17.2380E-12	116.646E+0
-70.3274E+0	30.1782E+3	18.1365E-12	112.820E+0
-70.0288E+0	30.1782E+3	17.8246E-12	106.009E+0
-69.7301E+0	30.1782E+3	17.5177E-12	82.7113E+0
-69.4315E+0	30.1782E+3	17.5787E-12	106.213E+0
-69.1329E+0	30.1782E+3	17.8160E-12	111.613E+0
-68.8343E+0	30.1782E+3	18.8385E-12	105.841E+0
-68.5356E+0	30.1782E+3	19.9628E-12	107.070E+0
-68.2370E+0	30.1782E+3	17.9288E-12	98.2456E+0
-67.9384E+0	30.1782E+3	18.3076E-12	110.407E+0
-67.6397E+0	30.1782E+3	16.8264E-12	98.0169E+0
-67.3411E+0	30.1782E+3	18.0550E-12	106.916E+0
-67.0425E+0	30.1782E+3	17.9989E-12	116.642E+0
-66.7439E+0	30.1782E+3	18.9863E-12	95.8266E+0
-66.4452E+0	30.1782E+3	17.7160E-12	109.101E+0
-66.1466E+0	30.1782E+3	19.0382E-12	110.391E+0
-65.8480E+0	30.1782E+3	17.7991E-12	114.300E+0
-65.5493E+0	30.1782E+3	19.1609E-12	106.742E+0
-65.2507E+0	30.1782E+3	16.2143E-12	111.565E+0
-64.9521E+0	30.1782E+3	20.0759E-12	103.147E+0
-64.6534E+0	30.1782E+3	19.1905E-12	98.5972E+0
-64.3548E+0	30.1782E+3	16.7250E-12	105.674E+0
-64.0562E+0	30.1782E+3	20.1966E-12	105.644E+0
-63.7576E+0	30.1782E+3	17.3327E-12	109.656E+0
