Experiment	Frequency Sweep	
Date	30.04.2017 16:43:51	
User		
f_res (Hz)	31691.5091	
Q	15140	
Phase (deg)	-67.79	
Amp/Exc (nm/mV)	0.291989	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-19.1000E+0	31.6927E+3	168.921E-12	107.106E+0
-19.0252E+0	31.6927E+3	169.531E-12	106.457E+0
-18.9505E+0	31.6927E+3	171.446E-12	106.644E+0
-18.8757E+0	31.6927E+3	170.319E-12	106.570E+0
-18.8010E+0	31.6927E+3	167.769E-12	107.554E+0
-18.7262E+0	31.6927E+3	172.497E-12	107.829E+0
-18.6515E+0	31.6927E+3	171.802E-12	107.316E+0
-18.5767E+0	31.6927E+3	172.634E-12	107.606E+0
-18.5020E+0	31.6927E+3	172.618E-12	107.189E+0
-18.4272E+0	31.6927E+3	173.482E-12	106.967E+0
-18.3525E+0	31.6927E+3	173.639E-12	107.489E+0
-18.2777E+0	31.6927E+3	174.469E-12	107.450E+0
-18.2029E+0	31.6927E+3	173.415E-12	107.563E+0
-18.1282E+0	31.6927E+3	174.669E-12	107.690E+0
-18.0534E+0	31.6927E+3	175.026E-12	107.326E+0
-17.9787E+0	31.6927E+3	174.450E-12	106.385E+0
-17.9039E+0	31.6927E+3	176.043E-12	105.896E+0
-17.8292E+0	31.6927E+3	173.269E-12	106.258E+0
-17.7544E+0	31.6927E+3	175.245E-12	105.411E+0
-17.6797E+0	31.6927E+3	175.322E-12	105.681E+0
-17.6049E+0	31.6927E+3	178.395E-12	106.139E+0
-17.5302E+0	31.6927E+3	176.906E-12	106.074E+0
-17.4554E+0	31.6927E+3	179.931E-12	107.203E+0
-17.3806E+0	31.6927E+3	180.233E-12	107.106E+0
-17.3059E+0	31.6927E+3	179.176E-12	106.541E+0
-17.2311E+0	31.6927E+3	180.800E-12	106.241E+0
-17.1564E+0	31.6927E+3	182.994E-12	106.892E+0
-17.0816E+0	31.6927E+3	183.962E-12	106.060E+0
-17.0069E+0	31.6927E+3	186.072E-12	106.601E+0
-16.9321E+0	31.6927E+3	184.400E-12	107.010E+0
-16.8574E+0	31.6927E+3	190.293E-12	105.295E+0
-16.7826E+0	31.6927E+3	189.505E-12	106.290E+0
-16.7078E+0	31.6927E+3	190.135E-12	105.982E+0
-16.6331E+0	31.6927E+3	191.982E-12	105.923E+0
-16.5583E+0	31.6927E+3	192.037E-12	106.407E+0
-16.4836E+0	31.6927E+3	193.080E-12	106.432E+0
-16.4088E+0	31.6927E+3	196.488E-12	106.379E+0
-16.3341E+0	31.6927E+3	196.428E-12	106.513E+0
-16.2593E+0	31.6927E+3	197.732E-12	106.893E+0
-16.1846E+0	31.6927E+3	202.478E-12	106.810E+0
-16.1098E+0	31.6927E+3	204.203E-12	106.764E+0
-16.0351E+0	31.6927E+3	205.625E-12	105.892E+0
-15.9603E+0	31.6927E+3	200.812E-12	104.543E+0
-15.8855E+0	31.6927E+3	208.531E-12	104.617E+0
-15.8108E+0	31.6927E+3	207.610E-12	105.107E+0
-15.7360E+0	31.6927E+3	210.165E-12	104.911E+0
-15.6613E+0	31.6927E+3	208.469E-12	105.014E+0
-15.5865E+0	31.6927E+3	209.959E-12	104.648E+0
-15.5118E+0	31.6927E+3	212.699E-12	104.500E+0
-15.4370E+0	31.6927E+3	208.823E-12	105.108E+0
-15.3623E+0	31.6927E+3	211.521E-12	106.210E+0
-15.2875E+0	31.6927E+3	207.782E-12	106.252E+0
-15.2127E+0	31.6927E+3	211.636E-12	106.167E+0
-15.1380E+0	31.6927E+3	209.880E-12	106.208E+0
-15.0632E+0	31.6927E+3	211.655E-12	105.737E+0
-14.9885E+0	31.6927E+3	210.230E-12	105.758E+0
-14.9137E+0	31.6927E+3	214.016E-12	105.920E+0
-14.8390E+0	31.6927E+3	215.061E-12	105.647E+0
-14.7642E+0	31.6927E+3	215.030E-12	106.015E+0
-14.6895E+0	31.6927E+3	215.649E-12	105.917E+0
-14.6147E+0	31.6927E+3	217.555E-12	105.479E+0
-14.5399E+0	31.6927E+3	220.786E-12	105.708E+0
-14.4652E+0	31.6927E+3	220.097E-12	105.852E+0
-14.3904E+0	31.6927E+3	218.808E-12	105.531E+0
-14.3157E+0	31.6927E+3	227.938E-12	107.067E+0
-14.2409E+0	31.6927E+3	223.632E-12	105.918E+0
-14.1662E+0	31.6927E+3	223.365E-12	106.028E+0
-14.0914E+0	31.6927E+3	226.338E-12	105.804E+0
-14.0167E+0	31.6927E+3	225.542E-12	105.710E+0
-13.9419E+0	31.6927E+3	225.034E-12	105.952E+0
-13.8671E+0	31.6927E+3	228.490E-12	105.872E+0
-13.7924E+0	31.6927E+3	231.053E-12	105.890E+0
-13.7176E+0	31.6927E+3	231.223E-12	106.372E+0
-13.6429E+0	31.6927E+3	235.692E-12	105.943E+0
-13.5681E+0	31.6927E+3	232.555E-12	106.029E+0
-13.4934E+0	31.6927E+3	235.263E-12	105.590E+0
-13.4186E+0	31.6927E+3	237.763E-12	106.014E+0
-13.3439E+0	31.6927E+3	238.135E-12	105.870E+0
-13.2691E+0	31.6927E+3	243.263E-12	105.254E+0
-13.1943E+0	31.6927E+3	243.257E-12	105.922E+0
-13.1196E+0	31.6927E+3	244.033E-12	106.141E+0
-13.0448E+0	31.6927E+3	244.017E-12	105.196E+0
-12.9701E+0	31.6927E+3	246.333E-12	105.374E+0
-12.8953E+0	31.6927E+3	246.234E-12	105.114E+0
-12.8206E+0	31.6927E+3	246.489E-12	105.069E+0
-12.7458E+0	31.6927E+3	251.790E-12	105.552E+0
-12.6711E+0	31.6927E+3	250.754E-12	105.508E+0
-12.5963E+0	31.6927E+3	250.815E-12	105.725E+0
-12.5215E+0	31.6927E+3	254.204E-12	105.548E+0
