Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-11.9983E+0	31.6915E+3	216.641E-12	90.1215E+0
-11.9235E+0	31.6915E+3	219.370E-12	90.5280E+0
-11.8487E+0	31.6915E+3	219.006E-12	89.9416E+0
-11.7740E+0	31.6915E+3	221.674E-12	90.2362E+0
-11.6992E+0	31.6915E+3	221.522E-12	90.1378E+0
-11.6245E+0	31.6915E+3	223.870E-12	90.1395E+0
-11.5497E+0	31.6915E+3	224.296E-12	89.9621E+0
-11.4750E+0	31.6915E+3	225.879E-12	89.9274E+0
-11.4002E+0	31.6915E+3	227.838E-12	89.9916E+0
-11.3254E+0	31.6915E+3	227.682E-12	90.0573E+0
-11.2507E+0	31.6915E+3	229.070E-12	89.7972E+0
-11.1759E+0	31.6915E+3	231.185E-12	90.1119E+0
-11.1012E+0	31.6915E+3	233.248E-12	90.0766E+0
-11.0264E+0	31.6915E+3	234.690E-12	89.9827E+0
-10.9517E+0	31.6915E+3	235.625E-12	90.3238E+0
-10.8769E+0	31.6915E+3	238.507E-12	89.9559E+0
-10.8022E+0	31.6915E+3	240.141E-12	90.2028E+0
-10.7274E+0	31.6915E+3	240.966E-12	90.0283E+0
-10.6526E+0	31.6915E+3	243.228E-12	90.1120E+0
-10.5779E+0	31.6915E+3	244.833E-12	90.2220E+0
-10.5031E+0	31.6915E+3	249.474E-12	89.9934E+0
-10.4284E+0	31.6915E+3	248.520E-12	89.4208E+0
-10.3536E+0	31.6915E+3	251.076E-12	90.1503E+0
-10.2789E+0	31.6915E+3	250.496E-12	89.7108E+0
-10.2041E+0	31.6915E+3	253.793E-12	89.1408E+0
-10.1294E+0	31.6915E+3	253.612E-12	89.9673E+0
-10.0546E+0	31.6915E+3	259.067E-12	89.5892E+0
-9.97985E+0	31.6915E+3	257.131E-12	90.0402E+0
-9.90509E+0	31.6915E+3	259.335E-12	89.5209E+0
-9.83034E+0	31.6915E+3	260.674E-12	89.8329E+0
-9.75558E+0	31.6915E+3	264.307E-12	89.4557E+0
-9.68083E+0	31.6915E+3	264.134E-12	89.4944E+0
-9.60607E+0	31.6915E+3	268.215E-12	89.6158E+0
-9.53131E+0	31.6915E+3	269.787E-12	89.5038E+0
-9.45656E+0	31.6915E+3	271.029E-12	89.9147E+0
-9.38180E+0	31.6915E+3	274.045E-12	89.6119E+0
-9.30705E+0	31.6915E+3	275.004E-12	89.1417E+0
-9.23229E+0	31.6915E+3	279.585E-12	89.3244E+0
-9.15754E+0	31.6915E+3	279.862E-12	89.5211E+0
-9.08278E+0	31.6915E+3	282.028E-12	89.4227E+0
-9.00802E+0	31.6915E+3	283.202E-12	89.1798E+0
-8.93327E+0	31.6915E+3	284.001E-12	89.2470E+0
-8.85851E+0	31.6915E+3	287.075E-12	89.2571E+0
-8.78376E+0	31.6915E+3	291.123E-12	88.9716E+0
-8.70900E+0	31.6915E+3	291.612E-12	89.0292E+0
-8.63425E+0	31.6915E+3	293.644E-12	89.3272E+0
-8.55949E+0	31.6915E+3	298.275E-12	89.2935E+0
-8.48473E+0	31.6915E+3	298.146E-12	88.7759E+0
-8.40998E+0	31.6915E+3	298.613E-12	88.6468E+0
-8.33522E+0	31.6915E+3	302.674E-12	88.5130E+0
-8.26047E+0	31.6915E+3	303.362E-12	88.4484E+0
-8.18571E+0	31.6915E+3	309.671E-12	88.1691E+0
-8.11096E+0	31.6915E+3	307.502E-12	88.8524E+0
-8.03620E+0	31.6915E+3	311.377E-12	88.8191E+0
-7.96145E+0	31.6915E+3	313.568E-12	88.4548E+0
-7.88669E+0	31.6915E+3	315.494E-12	87.9050E+0
-7.81193E+0	31.6915E+3	319.379E-12	87.6509E+0
-7.73718E+0	31.6915E+3	323.859E-12	87.9930E+0
-7.66242E+0	31.6915E+3	328.442E-12	87.8356E+0
-7.58767E+0	31.6915E+3	330.904E-12	88.2978E+0
-7.51291E+0	31.6915E+3	335.017E-12	87.5243E+0
-7.43816E+0	31.6915E+3	338.140E-12	87.6817E+0
-7.36340E+0	31.6915E+3	339.803E-12	87.5542E+0
-7.28865E+0	31.6915E+3	342.552E-12	87.7557E+0
-7.21389E+0	31.6915E+3	345.249E-12	87.3461E+0
-7.13914E+0	31.6915E+3	348.377E-12	87.6923E+0
-7.06438E+0	31.6915E+3	349.538E-12	87.2869E+0
-6.98963E+0	31.6915E+3	353.860E-12	87.2764E+0
-6.91487E+0	31.6915E+3	359.939E-12	87.3720E+0
-6.84012E+0	31.6915E+3	361.469E-12	87.0317E+0
-6.76536E+0	31.6915E+3	369.001E-12	87.2354E+0
